,サロン名,メニュー名,メニュー詳細,その他（注意事項等）,価格,施術画像等,salon_id
2022/09/22 14:34:44,Belle,ハーブピーリング☆6回コース,ハーブピーリングで美肌生成！また凸凹肌/毛穴の開き肌にお悩みの方へ！約2～3週間に1度の施術です。,,36000円,https://drive.google.com/open?id=1Yh6dAFvurNdIRIpzH5M5cgIWeIIxn71k,7
2022/09/22 14:35:36,Belle,ハーブピーリング☆12回コース,ハーブピーリングで美肌生成！また凸凹肌/毛穴の開き肌にお悩みの方へ！約2～3週間に1度の施術です。,,60000円,,7
2022/09/22 14:42:30,Belle,毛穴洗浄ハイドロ☆初回様限定,"水素で毛穴汚れゼロに！小鼻の黒ずみ/毛穴開き/くすみ改善/お肌のざらつきに☆クレンジング→洗顔→酵素ピーリング→毛穴洗浄→鎮静・保湿引き締めパック→お仕上げ
＋1000円でカスマラパック変更可
＋2000円でカスマラパック変更可",1週間に1度のペースでご予約ください。,3000円,https://drive.google.com/open?id=1u7UOhAdPBcEo65kOi6dFgrOslPeIDmSt,7
2022/09/22 14:45:46,Belle,毛穴洗浄ハイドロ☆通常価格,"水素で毛穴汚れゼロに！小鼻の黒ずみ/毛穴開き/くすみ改善/お肌のざらつきに☆クレンジング→洗顔→酵素ピーリング→毛穴洗浄→鎮静・保湿引き締めパック→お仕上げ
＋1000円でカスマラパック変更可
＋2000円でカスマラパックゴールド変更可",1週間に1度のペースでご予約ください。,5000円,https://drive.google.com/open?id=1tMbgjuYShygu4-knRZx7VmM8-prNdAOz,7
2022/09/22 14:57:04,Belle,オールハンドNo.1肌革命フェイシャル×至福のマッサージ 《女性限定》,"当店自慢の最高級のオールハンド施術です。
あなたの肌質にあったオーダーケアのご提案からのフェイシャルエステ+デコルテまでのマッサージをご堪能頂けます。
美肌と癒やしの両方をご体感ください。

岩盤マットに入って頂きながらの施術になります。

クレンジング→洗顔→スクラブ→フェイシャル+デコルテマッサージ→クーリングパック→お仕上げ
",,初回 ¥8.000,https://drive.google.com/open?id=1gX07LxT1OmUwdD0HrgYg8lX0aekeGonl,7
2022/09/22 14:58:32,Belle,最強3D小顔ハイフ3000shot&美顔カスマラパック☆初回様限定,"ハイフ3000shot全顔+カスマラパックの最強組み合わせ。ハイフでほてりが残ったお肌にカスマラで仕上げます。保湿に加え、装着時に肌温度が５℃下がるため、引き締めや鎮静の効果があります。
＋2000円でカスマラパックゴールドに変更可能","2週間に1度のペースでのご予約でお願い致します。
妊娠中のお客様は施術ご縁了ください。",6000円,"https://drive.google.com/open?id=17B6ZcgP1u7KMMiTpSvoaFg9H8Yx4nb9K, https://drive.google.com/open?id=1aOC9Qg5-gEYEcXpOlE6e5qzdW7d5-PjD",7
2022/09/22 15:00:48,Belle,オールハンドNo.1肌革命フェイシャル×至福のマッサージ 《女性限定》,"当店自慢の最高級のオールハンド施術です。
あなたの肌質にあったオーダーケアのご提案からのフェイシャルエステ+デコルテまでのマッサージをご堪能頂けます。
美肌と癒やしの両方をご体感ください。

ダイエット効果もある岩盤マットに入りながらの施術になります。

クレンジング→洗顔→スクラブ→フェイシャル+デコルテマッサージ→クーリングパック→お仕上げ",,"¥16,000",https://drive.google.com/open?id=1HZZm0r0i7A88oS1h0jTXZj4BUlCFhi52,7
2022/09/22 15:00:59,Belle,最強3D小顔ハイフ3000shot&美顔カスマラパック☆通常価格,"ハイフ3000shot全顔+カスマラパックの最強組み合わせ。ハイフでほてりが残ったお肌にカスマラで仕上げます。保湿に加え、装着時に肌温度が５℃下がるため、引き締めや鎮静の効果があります。
＋2000円でカスマラパックゴールドに変更可能","2週間に1度のペースでのご予約でお願い致します。
妊娠中のお客様は施術ご縁了ください。",13000円,"https://drive.google.com/open?id=1nCisI8-VFe4RDErV4S4WGmLTWZSlLBj5, https://drive.google.com/open?id=1T7cUXZahzXbxtOFxwDhLlGJptfWhAV8t",7
2022/09/22 15:16:27,Belle,化粧品ご購入様限定,"ハイドロ、ハーブピーリング、ハイフ、脱毛
上記全メニュー 化粧品セットご購入の方
通常価格から¥2000 OFF

オールハンド 化粧品セットご購入の方
通常価格から¥4000 OFF",,メニュー詳細をご覧ください,,7
2022/09/22 19:55:25,M's Beauty Salon,まつげエクステ（フラットラッシュ）　100本まで,"エクステ100本まで。JカールCカールSCカールDカール太さ0,15、0,20長さ９mm～１4mmまでお選びいただけます。持ち、デザイン力、自信あり！",施術目安時間：60分,9900円,,5
2022/09/22 19:57:10,M's Beauty Salon,まつげエクステ（フラットラッシュ）　つけ放題,"まつげエクステ　つけ放題
¥10,780～

エクステつけ放題。JカールCカールSCカールDカール太さ0,15、0,20長さ９mm～１4mmまでお選びいただけます。持ち、デザイン力、自信あり！！",施術目安時間:90分,"11,880円",,5
2022/09/22 19:58:17,M's Beauty Salon,〈フラットラッシュ〉１ヶ月以内のリペア,"前回の施術から１ヶ月以内のご来店限定で、6,600円で元の状態に戻します。",,"6,600円",,5
2022/09/22 20:01:08,M's Beauty Salon,まつ毛エクステ【フラットラッシュ・5D】1本単位価格,【フラットラッシュ】1本120円、【5D】1本220円となります。,,【フラットラッシュ】1本120円、【5D】1本220円となります。,,5
2022/09/22 20:03:02,M's Beauty Salon,まつ毛エクステ【5Dボリュームラッシュ】つけ放題 ,まつ毛が少ない方、もっとボリュームが欲しい方にオススメ！！隙間のない仕上がりになります。,施術目安時間:90分,"12,980円",,5
2022/09/22 20:04:20,M's Beauty Salon,まつ毛エクステ〈5D〉１ヶ月以内のリペア,"前回の施術から１ヶ月以内のご来店限定で、7,700円で元の状態に戻します。",,"7,700円",,5
2022/09/22 20:07:29,M's Beauty Salon,まつ毛エクステ【当店付け替え まつげエクステオフ】,まつげエクステ付け替え時の当店オフ。1か月以内のリペアにはつけれません。,,"1,100円",,5
2022/09/22 20:08:22,M's Beauty Salon,まつ毛エクステ【他店付け替え まつげエクステオフ】,当店のまつ毛エクステを付ける前に他店で付けたエクステをオフする場合はこちらをお選びください。,,"1,650円",,5
2022/09/22 20:10:08,M's Beauty Salon,まつ毛エクステ【当店まつげエクステ オフのみ(トリートメント付) 】,当店でのエクステのオフのみのメニューです。オフした後エクステを付ける方は付け替えオフをお選びください。,,"1,650円",,5
2022/09/22 20:11:06,M's Beauty Salon,まつ毛エクステ【他店まつげエクステ オフのみ(トリートメント付) 】,他店のエクステのオフのみのメニューです。オフした後エクステを付ける方は付け替えオフをお選びください。,,"2,200円",,5
2022/09/22 20:20:49,M's Beauty Salon,まつ毛エクステ【アイシャンプー】,まつ毛ダニのエサとなる汚れやフケをしっかり落とします,,"1,100円",,5
2022/09/22 20:24:12,M's Beauty Salon,まつ毛パーマ【パリジェンヌラッシュリフト】上or下まつげ,まつげを80°にあげていく最新まつげパーマ。下りまつげの方におすすめ☆エクステも付けられます！※エクステ希望は追加メニューから選択してください,,"6,600円",,5
2022/09/22 20:25:55,M's Beauty Salon,まつ毛パーマ【ケラチンラッシュリフト】上or下まつげ,まつげパーマ中にまつげに必要な成分『ケラチン』を3回導入し、まつげをケアしながらパーマをかけていきます。繰り返しパーマをかける方におすすめ☆,上下セット割(組み合わせ自由)　1100円引き,"5,500円",,5
2022/09/22 20:27:16,M's Beauty Salon,まつ毛パーマ【デザインまつげパーマ】上or下まつげ,【上下可能☆】カールの強さやデザインをしっかりとカウンセリング致します。どこよりも綺麗に仕上げる自信あり！沢山カールご用意しております。,上下セット割(組み合わせ自由)　1100円引き,"4,950円",,5
2022/09/22 20:28:41,M's Beauty Salon,まつ毛パーマ【クイックラッシュリフト】上まつげのみ,デザインは1種類のみ。デザインや、綺麗さにこだわらない方、手軽に時短でまつ毛を上げたい方におすすめ☆※お直し保証は無し,,"3,850円",,5
2022/09/22 20:31:05,M's Beauty Salon,まつ毛パーマ【アイパックorケラチンorアイシャンプー】,"アイパック・ケラチン・アイシャンプー各1,100円　",,"1,100円",,5
2022/09/22 20:33:47,M's Beauty Salon,アイブロウ【ハリウッドブロウリフト】,毛流れを矯正し、無駄な毛をWAX脱毛する次世代アイブロウ,,"初回5,900円　2回目以降6,900円",,5
2022/09/22 20:36:36,M's Beauty Salon,アイブロウ【オプション】眉カットor鼻毛ＷＡＸ脱毛,アイブロウのオプションです,,"眉カット1,100円　鼻毛ＷＡＸ1,100円",,5
2022/09/22 20:41:07,M's Beauty Salon,エステ【光フェイシャル】,シミなどに効果大！施術内容（角質とり、フォト照射、イオン導入、パック）,,"8,800円",,5
2022/09/22 20:42:02,M's Beauty Salon,エステ【光フェイシャル＋顔脱毛】,顔脱毛とエステの贅沢なコースです。シミを改善し、毛穴が目立たない、つるんとしたお顔になります。,,"11,000円",,5
2022/09/22 20:43:08,M's Beauty Salon,エステ【腕エステ】,腕のシミを改善したい方におすすめ！！脱毛や光フェイシャル、パックなどで綺麗な腕にします♪,,"13,200円",,5
2022/09/22 20:44:28,M's Beauty Salon,エステ【背中エステ】,背中のぶつぶつやシミを改善したい方におすすめ！！脱毛や光フェイシャル、パックなどで綺麗な腕にします♪,,"13,200円",,5
2022/09/22 20:45:56,M's Beauty Salon,エステ【ワキ美肌エステ】,ワキの毛穴や黒ずみに！,,"5,500円",,5
2022/09/22 20:49:14,M's Beauty Salon,エステ【シミ集中エステ】,光フェイシャル、シミに特化したパックのコースです。気になるシミ・くすみに集中的にアプローチしていきます。,,"9,900円",,5
2022/09/22 20:49:54,M's Beauty Salon,エステ【手の甲エステ】,手の甲に、光フェイシャルで、シミ改善に！！パックもついているので、しっとり綺麗な手の甲に♪,,"5,500円",,5
2022/09/22 20:55:00,M's Beauty Salon,最新式高速光脱毛【女性　Sパーツ】,うなじ、膝、肘、乳輪、へそ下、口周り、両頬、額、ワキ、手の甲&指、足の甲&指超スピード脱毛！！,,"1パーツ各1,100円",,5
2022/09/22 20:56:04,M's Beauty Salon,最新式高速光脱毛【女性　Lパーツ】,顔全体、背中上、背中下、ヒップ、膝上、膝下、肘上、肘下、胸部、腹部超スピード脱毛。,,"各3,300円",,5
2022/09/22 20:57:22,M's Beauty Salon,最新式高速光脱毛【女性VIO脱毛各１カ所】,"女性VIO脱毛各１ヶ所2,200円！他店で痛くて諦めてしまった方、是非当店の脱毛お試しください。",,"1か所2,200円",,5
2022/09/22 20:58:33,M's Beauty Salon,最新式高速光脱毛【女性　全身+顔】,全身＋顔脱毛！！顔も身体もツルスベに。。超スピード脱毛で心地良くリラックスしてる間に終わります。,,"16,500円",,5
2022/09/22 20:59:39,M's Beauty Salon,最新式高速光脱毛【女性　全身】,顔以外すべてのパーツが含まれてます。超スピード脱毛で、心地よくリラックスしてる間に終わります,,"14,080円",,5
2022/09/22 21:00:32,M's Beauty Salon,最新式高速光脱毛【男性脱毛　Sパーツ】,うなじ、膝、肘、乳輪、へそ下、口周り、両頬、額、ワキ、手の甲&指、足の甲&指超スピード脱毛！！,,"各2,200円",,5
2022/09/22 21:01:29,M's Beauty Salon,最新式高速光脱毛【男性脱毛　Lパーツ】,背中上、背中下、ヒップ、膝上、膝下、肘上、肘下、胸部、腹部。超スピード脱毛！！,,"各5,500円",,5
2022/09/22 21:02:27,M's Beauty Salon,最新式高速光脱毛【男性VIO脱毛各１ヶ所】,男性VIO脱毛各１ヶ所3300円、VIO全部で9900円,,"各3,300円",,5
2022/09/22 21:03:19,M's Beauty Salon,最新式高速光脱毛【男性脱毛　ひげ】,男性のヒゲ脱毛。ほほ、口周り、あご、あご下込みです。,,"6,600円",,5
2022/09/22 21:04:58,M's Beauty Salon,最新式高速光脱毛【男性脱毛　顔全体】,ひげコースに額も含まれたコースです,,"8,800円",,5
2022/09/22 21:05:52,M's Beauty Salon,最新式高速光脱毛【男性脱毛　全身】,男性の全身脱毛。顔以外全てです。,,"27,500円",,5
2022/09/22 21:10:37,M's Beauty Salon,最新式高速光脱毛【キッズ】,小学生、中・高生は割引となります。＊要身分証明書提示,,小学生以下【女性メニュー価格から50％OFF】、中・高生女性【女性メニュー価格から30％OFF】、中・高生男性【男性メニュー価格から30％OFF】,,5
2022/09/22 21:12:09,M's Beauty Salon,WAX脱毛【鼻毛】【眉毛】,"鼻毛1,100円、眉毛3,300円",,"鼻毛1,100円、眉毛3,300円",,5
2022/09/23 22:54:54,Rela Beauty Medical Artmake,医療アートメイク　　パラメディカルピグメンテーション,"

𓈒 𓏸 𓐍医療アートメイク𓈒 𓏸 𓐍
❥パウダー眉　パウダーメイクしたようなふんわり眉、毛はある方は、ふんわりパウダーで形を整える　

❥毛並み眉　　ナチュラルに毛並みが欲しい方

❥毛並み➕パウダー　　毛並みにふんわりパウダーをのせて、立体感があり、ナチュラル眉毛
　
❥アイライン　　まつ毛をうめるので、目元がはっきりと大きくみえる。
太さは要相談。

❥テール　跳ね上げアイライン

❥シャドウ　かるく影ができ、目元にめりはり。

❥下アイライン　ドットラインでナチュラルに目元がはっきりと。

❥リップ　くすみやぼやつきを改善。お肌も綺麗に見せてくれる。生まれたてナチュラルリップからしっかり色付きリップ、シャドーリップまで、お好みで。

❥リップライン　　輪郭だけ欲しい方、あまり、色はつけたくない方。

❥ほくろ　　おしゃれほくろから、開運黒子、手相も。

❥リムーバル
　　昔いれたアートメイクを除去、カラーチェンジ

𓈒 𓏸 𓐍パラメディカルアートメイク𓈒 𓏸 𓐍
❥乳輪乳頭　　乳癌で失った乳輪乳頭を3Dでカモフラージュ。
❥ヘアライン　　薄毛や、脱毛症で悩む方に。
❥smp            ドットで増毛感
❥白斑　肌に合わせカモフラージュ
❥傷跡　手術跡、外傷の傷
♡口蓋裂リップ、傷跡のある眉毛、脱毛症の方、これから抗癌剤で脱毛が予想される方など、お気軽にご相談ください。

","

⧉眉毛　
剃らずにボサボサのままお越しください。　
いつも通りのメイクでおこしください。
カラーを変えている方は、事前にカラーをしてからお越しください。

⧉アイライン　　
コンタクトははずしておこしください。　エクステはとってからおこしください。
まつ毛パーマは、施術前後の2週間あけてください。

⧉リップ
施術1週間前にスクラブし、保湿を続けてください。自宅にスクラブがなければ、お砂糖に蜂蜜かオリーブオイルを1対1で混ぜて、入浴時優しくマッサージしてください。
乾燥していると、色が入りにくい可能性があります。

⧉アートメイク全メニューについて、1週間は施術部位のメイクができないので、ご予定をご確認してからご予約ください。
⧉アートメイクは、個人差はありますが、2.3回で定着になります。
",単発　　2回コース  パウダー　　　　66000円　　110000円 毛並み　　　　　77000円　　132000円 毛並み＆パウダー77000円　　132000円 　　　　　　　　 　　　　　　　　単発　　　　2回コース フルリップ　　　77000円　　132000円 リップライン　　55000円　　110000円  　　　　　　　　単発　　　　2回コース アイライン各上下39000円　　72000円 オプション テール/シャドウ/下1/3/太さ2𝔪𝔪以上 　　　　　　　　18000円  ホクロ(1カ所）　11000円  　　　リムーバル1回22000円【眉、リップ】　　　　　　,,16
,,,,,,,
,,,,,,,
,,,,,,,
, ,,,,,,
